,equipe_dom,equipe_ext,cote_dom,cote_nul,cote_ext,score,but_dom,but_ext,total_buts,resultat
3542,Bournemouth,Wolverhampton,1.86,3.58,4.12,1-1,1.0,1.0,2.0,N
3543,Liverpool,Brentford,1.41,4.73,7.28,1-0,1.0,0.0,1.0,D
3544,A. Villa,Newcastle,1.82,4.26,3.64,1-1,1.0,1.0,2.0,N
3545,Spurs,Fulham,1.94,4.07,3.34,3-1,3.0,1.0,4.0,D
3546,London Blues,Manchester Red,1.66,3.97,4.85,4-0,4.0,0.0,4.0,D
3547,C. Palace,West Ham,1.81,3.84,4.05,2-1,2.0,1.0,3.0,D
3548,Leeds,Brighton,5.87,4.82,1.47,0-4,0.0,4.0,4.0,E
3549,Manchester Blue,Everton,1.25,5.84,11.29,4-0,4.0,0.0,4.0,D
3550,Manchester Red,A. Villa,1.85,3.63,4.12,2-1,2.0,1.0,3.0,D
3551,N. Forest,Bournemouth,1.82,4.02,3.8,3-2,3.0,2.0,5.0,D
3552,Newcastle,Liverpool,1.76,4.25,3.91,2-1,2.0,1.0,3.0,D
3553,Fulham,Brentford,2.37,3.59,2.78,0-0,0.0,0.0,0.0,N
3554,West Ham,Leeds,1.61,3.9,5.43,2-2,2.0,2.0,4.0,N
3555,Everton,Sunderland,1.87,3.54,4.13,2-2,2.0,2.0,4.0,N
3556,Wolverhampton,London Reds,6.53,4.04,1.52,0-1,0.0,1.0,1.0,E
3557,Burnley,Spurs,3.72,3.95,1.86,0-3,0.0,3.0,3.0,E
3558,C. Palace,Manchester Blue,4.23,3.7,1.81,2-2,2.0,2.0,4.0,N
3559,Brighton,London Blues,1.99,3.88,3.34,0-0,0.0,0.0,0.0,N
3560,London Reds,N. Forest,1.23,6.52,10.87,2-1,2.0,1.0,3.0,D
3561,Spurs,Wolverhampton,1.48,4.96,5.46,3-0,3.0,0.0,3.0,D
3562,Liverpool,Manchester Red,1.31,5.34,9.34,3-0,3.0,0.0,3.0,D
3563,Manchester Blue,Sunderland,1.18,7.54,12.09,5-0,5.0,0.0,5.0,D
3564,Brentford,Burnley,1.47,5.13,5.47,3-1,3.0,1.0,4.0,D
3565,A. Villa,Brighton,1.6800000000000002,4.5,4.1,2-0,2.0,0.0,2.0,D
3566,Fulham,Newcastle,2.49,3.86,2.51,4-1,4.0,1.0,5.0,D
3567,London Blues,West Ham,1.49,4.46,6.0,4-0,4.0,0.0,4.0,D
3568,Leeds,C. Palace,5.19,3.79,1.66,0-3,0.0,3.0,3.0,E
3569,Bournemouth,Everton,2.12,3.07,3.83,1-2,1.0,2.0,3.0,E
3570,C. Palace,London Blues,2.21,3.66,2.99,2-0,2.0,0.0,2.0,D
3571,Manchester Red,Fulham,1.9,3.59,3.91,1-1,1.0,1.0,2.0,N
3572,N. Forest,Spurs,2.25,3.82,2.83,2-1,2.0,1.0,3.0,D
3573,Brighton,Liverpool,2.56,3.95,2.4,1-2,1.0,2.0,3.0,E
3574,West Ham,A. Villa,2.33,3.5700000000000003,2.85,3-0,3.0,0.0,3.0,D
3575,Wolverhampton,Brentford,2.66,3.35,2.59,2-1,2.0,1.0,3.0,D
3576,Everton,London Reds,6.06,3.6,1.62,0-4,0.0,4.0,4.0,E
3577,Sunderland,Bournemouth,5.22,4.39,1.56,1-2,1.0,2.0,3.0,E
3578,Burnley,Newcastle,4.58,3.98,1.69,2-1,2.0,1.0,3.0,D
3579,Leeds,Manchester Blue,15.71,6.79,1.18,0-0,0.0,0.0,0.0,N
3580,Brentford,N. Forest,1.53,4.71,5.13,3-1,3.0,1.0,4.0,D
3581,Liverpool,West Ham,1.22,6.5,11.73,4-1,4.0,1.0,5.0,D
3582,London Blues,Leeds,1.29,5.19,10.73,0-2,0.0,2.0,2.0,E
3583,Burnley,Manchester Red,3.19,3.3,2.25,0-0,0.0,0.0,0.0,N
3584,Manchester Blue,Bournemouth,1.23,6.87,9.71,1-0,1.0,0.0,1.0,D
3585,Fulham,Brighton,2.21,4.1,2.75,3-2,3.0,2.0,5.0,D
3586,Spurs,Everton,1.63,4.11,4.92,1-0,1.0,0.0,1.0,D
3587,London Reds,Sunderland,1.24,6.44,10.22,4-1,4.0,1.0,5.0,D
3588,A. Villa,C. Palace,1.61,4.21,4.98,3-1,3.0,1.0,4.0,D
3589,Newcastle,Wolverhampton,1.24,6.13,10.77,4-0,4.0,0.0,4.0,D
3590,Leeds,A. Villa,4.93,3.98,1.65,0-2,0.0,2.0,2.0,E
3591,West Ham,Fulham,2.51,3.55,2.63,1-1,1.0,1.0,2.0,N
3592,London Blues,Manchester Blue,3.17,3.41,2.22,1-2,1.0,2.0,3.0,E
3593,Bournemouth,London Reds,5.85,3.74,1.61,1-1,1.0,1.0,2.0,N
3594,Brighton,Burnley,1.43,5.14,6.03,5-0,5.0,0.0,5.0,D
3595,Sunderland,Spurs,7.65,5.44,1.34,0-4,0.0,4.0,4.0,E
3596,Everton,Brentford,2.71,3.1,2.71,0-1,0.0,1.0,1.0,E
3597,C. Palace,Liverpool,3.08,3.85,2.1,1-4,1.0,4.0,5.0,E
3598,N. Forest,Newcastle,2.45,3.67,2.63,2-3,2.0,3.0,5.0,E
3599,Wolverhampton,Manchester Red,2.42,3.36,2.87,1-0,1.0,0.0,1.0,D
3600,Brentford,Sunderland,1.58,4.59,4.75,2-1,2.0,1.0,3.0,D
3601,A. Villa,London Blues,1.63,4.42,4.52,1-1,1.0,1.0,2.0,N
3602,Newcastle,Everton,1.32,5.07,9.79,2-0,2.0,0.0,2.0,D
3603,Manchester Red,N. Forest,1.51,4.4,5.85,4-2,4.0,2.0,6.0,D
3604,Wolverhampton,Brighton,2.66,3.82,2.37,2-2,2.0,2.0,4.0,N
3605,Manchester Blue,London Reds,2.27,3.65,2.89,3-1,3.0,1.0,4.0,D
3606,Spurs,Bournemouth,1.66,4.64,4.1,3-3,3.0,3.0,6.0,N
3607,Burnley,West Ham,2.67,3.45,2.52,0-1,0.0,1.0,1.0,E
3608,Fulham,C. Palace,2.07,3.61,3.33,4-1,4.0,1.0,5.0,D
3609,Liverpool,Leeds,1.13,8.14,20.59,5-0,5.0,0.0,5.0,D
3610,Leeds,Fulham,5.62,4.17,1.56,2-0,2.0,0.0,2.0,D
3611,London Blues,Liverpool,2.22,3.79,2.89,1-1,1.0,1.0,2.0,N
3612,Sunderland,Newcastle,8.61,5.43,1.32,0-5,0.0,5.0,5.0,E
3613,Everton,Manchester Red,2.43,3.07,3.09,3-0,3.0,0.0,3.0,D
3614,London Reds,Spurs,1.43,5.33,5.75,3-0,3.0,0.0,3.0,D
3615,Bournemouth,Brentford,2.59,3.2,2.77,2-2,2.0,2.0,4.0,N
3616,A. Villa,Manchester Blue,2.88,3.62,2.29,2-1,2.0,1.0,3.0,D
3617,C. Palace,Burnley,1.57,4.46,5.04,0-0,0.0,0.0,0.0,N
3618,N. Forest,Brighton,2.28,3.79,2.8,1-1,1.0,1.0,2.0,N
3619,West Ham,Wolverhampton,1.87,3.85,3.77,3-1,3.0,1.0,4.0,D
3620,Brighton,Everton,1.66,3.78,5.21,2-1,2.0,1.0,3.0,D
3621,Manchester Blue,Spurs,1.32,6.06,7.3,3-2,3.0,2.0,5.0,D
3622,N. Forest,West Ham,1.76,3.81,4.36,0-0,0.0,0.0,0.0,N
3623,Brentford,London Reds,4.75,4.25,1.63,1-3,1.0,3.0,4.0,E
3624,Manchester Red,Sunderland,1.49,4.52,5.96,1-2,1.0,2.0,3.0,E
3625,Liverpool,A. Villa,1.31,5.43,9.02,3-0,3.0,0.0,3.0,D
3626,Burnley,Leeds,2.0,3.22,4.0,1-1,1.0,1.0,2.0,N
3627,Newcastle,Bournemouth,1.33,5.6,7.67,6-0,6.0,0.0,6.0,D
3628,Wolverhampton,C. Palace,2.51,3.25,2.8200000000000003,3-2,3.0,2.0,5.0,D
3629,Fulham,London Blues,2.18,3.84,2.93,0-2,0.0,2.0,2.0,E
3631,Brentford,N. Forest,1.58,4.59,4.79,2-0,2.0,0.0,2.0,D
3632,West Ham,Manchester Red,2.21,3.5700000000000003,3.05,3-1,3.0,1.0,4.0,D
3633,Bournemouth,Manchester Blue,5.2,3.68,1.6800000000000002,2-0,2.0,0.0,2.0,D
3634,Newcastle,Burnley,1.19,7.25,12.12,4-1,4.0,1.0,5.0,D
3635,London Blues,Sunderland,1.38,5.0,7.38,4-1,4.0,1.0,5.0,D
3636,Everton,Fulham,2.55,3.12,2.89,2-1,2.0,1.0,3.0,D
3637,London Reds,Brighton,1.42,5.27,5.96,1-1,1.0,1.0,2.0,N
3638,A. Villa,Wolverhampton,1.36,5.39,7.28,3-0,3.0,0.0,3.0,D
3639,Liverpool,Spurs,1.35,5.65,7.02,2-0,2.0,0.0,2.0,D
3640,Burnley,London Blues,3.59,3.53,2.01,2-2,2.0,2.0,4.0,N
3641,Fulham,Bournemouth,1.84,4.26,3.55,3-0,3.0,0.0,3.0,D
3643,Brighton,Brentford,2.02,3.71,3.39,3-2,3.0,2.0,5.0,D
3644,Wolverhampton,Newcastle,3.1,3.75,2.12,1-3,1.0,3.0,4.0,E
3645,C. Palace,Manchester Red,2.12,3.48,3.34,1-5,1.0,5.0,6.0,E
3646,N. Forest,Leeds,1.46,4.2,7.24,3-1,3.0,1.0,4.0,D
3647,Spurs,West Ham,1.61,4.6,4.51,2-0,2.0,0.0,2.0,D
3648,Manchester Blue,London Reds,2.29,3.68,2.85,0-2,0.0,2.0,2.0,E
3649,Sunderland,Liverpool,11.61,6.45,1.22,2-0,2.0,0.0,2.0,D
3650,West Ham,Sunderland,1.87,3.97,3.65,1-1,1.0,1.0,2.0,N
3651,Manchester Red,Spurs,2.0,3.95,3.25,4-0,4.0,0.0,4.0,D
3652,Brentford,Manchester Blue,3.84,4.03,1.81,2-0,2.0,0.0,2.0,D
3653,Newcastle,Everton,1.35,4.75,9.23,1-1,1.0,1.0,2.0,N
3654,Liverpool,Burnley,1.15,8.09,14.57,3-0,3.0,0.0,3.0,D
3655,Bournemouth,A. Villa,2.32,3.24,3.13,3-1,3.0,1.0,4.0,D
3656,London Reds,Fulham,1.42,4.9,6.69,0-0,0.0,0.0,0.0,N
3657,Leeds,Brighton,6.32,5.03,1.42,1-2,1.0,2.0,3.0,E
3658,London Blues,Wolverhampton,1.46,4.54,6.44,1-1,1.0,1.0,2.0,N
3659,N. Forest,C. Palace,2.12,3.33,3.48,1-2,1.0,2.0,3.0,E
3660,C. Palace,Spurs,2.25,3.95,2.76,1-1,1.0,1.0,2.0,N
3661,Everton,London Blues,2.63,3.27,2.67,0-3,0.0,3.0,3.0,E
3662,Burnley,West Ham,2.61,3.47,2.58,0-0,0.0,0.0,0.0,N
3663,Sunderland,Manchester Red,5.92,4.06,1.55,0-4,0.0,4.0,4.0,E
3664,Fulham,Brentford,2.35,3.62,2.79,2-2,2.0,2.0,4.0,N
3665,Manchester Blue,Leeds,1.11,9.11,21.73,5-0,5.0,0.0,5.0,D
3666,A. Villa,London Reds,3.39,3.66,2.03,3-2,3.0,2.0,5.0,D
3667,Wolverhampton,Liverpool,3.75,3.94,1.85,1-5,1.0,5.0,6.0,E
3668,Brighton,N. Forest,1.57,4.41,5.13,1-0,1.0,0.0,1.0,D
3669,Newcastle,Bournemouth,1.31,5.8100000000000005,8.19,1-1,1.0,1.0,2.0,N
3670,Brighton,C. Palace,1.89,3.61,3.93,2-1,2.0,1.0,3.0,D
3671,London Reds,Newcastle,1.59,4.5600000000000005,4.68,2-3,2.0,3.0,5.0,E
3672,Spurs,Sunderland,1.53,4.82,5.08,1-2,1.0,2.0,3.0,E
3673,Leeds,Fulham,5.69,4.26,1.54,1-1,1.0,1.0,2.0,N
3674,N. Forest,Manchester Blue,4.19,3.56,1.85,1-2,1.0,2.0,3.0,E
3675,Liverpool,Everton,1.26,5.45,11.85,5-1,5.0,1.0,6.0,D
3676,Brentford,A. Villa,1.85,4.03,3.69,0-1,0.0,1.0,1.0,E
3677,West Ham,Wolverhampton,1.83,3.93,3.86,3-0,3.0,0.0,3.0,D
3678,London Blues,Bournemouth,1.48,4.75,5.75,3-2,3.0,2.0,5.0,D
3679,Manchester Red,Burnley,1.43,4.9,6.3,1-2,1.0,2.0,3.0,E
3680,Bournemouth,Liverpool,3.44,3.73,1.99,1-4,1.0,4.0,5.0,E
3681,C. Palace,Sunderland,1.6800000000000002,4.06,4.57,3-1,3.0,1.0,4.0,D
3682,Fulham,N. Forest,1.67,4.25,4.4,3-1,3.0,1.0,4.0,D
3683,Everton,West Ham,1.98,3.41,3.84,0-1,0.0,1.0,1.0,E
3684,Newcastle,Brentford,1.5,4.44,5.91,4-0,4.0,0.0,4.0,D
3685,Manchester Blue,Brighton,1.34,5.91,6.96,3-2,3.0,2.0,5.0,D
3686,Burnley,Spurs,3.72,3.95,1.86,1-4,1.0,4.0,5.0,E
3687,A. Villa,Leeds,1.24,5.96,11.52,1-0,1.0,0.0,1.0,D
3688,London Blues,London Reds,3.73,3.52,1.97,1-3,1.0,3.0,4.0,E
3689,Wolverhampton,Manchester Red,2.36,3.42,2.91,0-3,0.0,3.0,3.0,E
3690,Spurs,Wolverhampton,1.48,4.91,5.52,2-0,2.0,0.0,2.0,D
3691,Manchester Red,Everton,1.65,3.66,5.58,0-2,0.0,2.0,2.0,E
3692,N. Forest,A. Villa,2.04,3.43,3.61,0-1,0.0,1.0,1.0,E
3693,West Ham,Bournemouth,1.97,4.02,3.3,1-2,1.0,2.0,3.0,E
3694,Leeds,Newcastle,7.93,5.32,1.34,1-0,1.0,0.0,1.0,D
3695,Brentford,London Blues,1.95,4.11,3.28,2-1,2.0,1.0,3.0,D
3696,Sunderland,Burnley,3.91,4.04,1.8,3-0,3.0,0.0,3.0,D
3697,Manchester Blue,C. Palace,1.28,5.73,9.43,4-2,4.0,2.0,6.0,D
3698,Liverpool,London Reds,2.33,3.43,2.95,1-3,1.0,3.0,4.0,E
3699,Brighton,Fulham,1.96,3.82,3.49,4-0,4.0,0.0,4.0,D
3700,Spurs,Bournemouth,1.69,4.63,3.99,2-1,2.0,1.0,3.0,D
3701,Leeds,Liverpool,9.61,6.04,1.27,0-1,0.0,1.0,1.0,E
3702,N. Forest,London Blues,2.15,3.52,3.21,0-0,0.0,0.0,0.0,N
3703,Burnley,Wolverhampton,2.43,3.36,2.85,1-1,1.0,1.0,2.0,N
3704,Sunderland,Everton,4.77,3.29,1.83,3-1,3.0,1.0,4.0,D
3705,West Ham,Brentford,2.6,3.59,2.52,2-1,2.0,1.0,3.0,D
3706,Manchester Blue,A. Villa,1.27,5.97,9.56,2-2,2.0,2.0,4.0,N
3707,Fulham,C. Palace,2.04,3.67,3.37,0-0,0.0,0.0,0.0,N
3708,Brighton,Newcastle,2.17,3.92,2.91,2-2,2.0,2.0,4.0,N
3709,Manchester Red,London Reds,4.16,3.52,1.87,1-0,1.0,0.0,1.0,D
3710,Sunderland,London Reds,23.4,7.98,1.12,0-1,0.0,1.0,1.0,E
3711,Wolverhampton,Everton,2.11,3.17,3.69,2-1,2.0,1.0,3.0,D
3712,Burnley,Bournemouth,2.79,3.61,2.36,2-2,2.0,2.0,4.0,N
3713,Fulham,Newcastle,2.59,3.95,2.38,1-2,1.0,2.0,3.0,E
3714,N. Forest,West Ham,1.73,3.9,4.45,2-1,2.0,1.0,3.0,D
3715,A. Villa,C. Palace,1.6,4.2,5.08,3-0,3.0,0.0,3.0,D
3716,Spurs,Brentford,2.1,3.9,3.05,0-1,0.0,1.0,1.0,E
3717,Manchester Blue,London Blues,1.33,5.61,7.83,3-0,3.0,0.0,3.0,D
3718,Brighton,Liverpool,2.5700000000000003,3.93,2.4,2-2,2.0,2.0,4.0,N
3719,Manchester Red,Leeds,1.36,4.69,8.99,5-1,5.0,1.0,6.0,D
3720,London Blues,Fulham,1.71,3.9,4.5600000000000005,4-2,4.0,2.0,6.0,D
3721,London Reds,Burnley,1.2,7.31,11.44,2-1,2.0,1.0,3.0,D
3722,C. Palace,Everton,1.84,3.39,4.49,2-1,2.0,1.0,3.0,D
3723,Manchester Red,N. Forest,1.52,4.35,5.77,0-4,0.0,4.0,4.0,E
3724,Leeds,Spurs,6.38,5.07,1.42,1-3,1.0,3.0,4.0,E
3725,West Ham,Brighton,2.5700000000000003,4.02,2.37,4-1,4.0,1.0,5.0,D
3726,Bournemouth,Wolverhampton,1.84,3.6,4.17,1-0,1.0,0.0,1.0,D
3727,Brentford,Sunderland,1.53,4.84,5.0,1-0,1.0,0.0,1.0,D
3728,Newcastle,A. Villa,1.38,4.97,7.6,5-0,5.0,0.0,5.0,D
3729,Liverpool,Manchester Blue,2.04,3.5700000000000003,3.46,0-3,0.0,3.0,3.0,E
3730,Fulham,Liverpool,3.05,3.97,2.08,3-1,3.0,1.0,4.0,D
3731,Manchester Blue,West Ham,1.19,7.21,11.93,2-2,2.0,2.0,4.0,N
3732,Everton,Bournemouth,2.13,3.55,3.24,2-3,2.0,3.0,5.0,E
3733,Wolverhampton,London Reds,6.8,4.15,1.49,0-5,0.0,5.0,5.0,E
3734,Burnley,Brentford,3.72,3.48,1.99,1-3,1.0,3.0,4.0,E
3735,Sunderland,Leeds,3.29,3.2,2.26,2-1,2.0,1.0,3.0,D
3736,Brighton,Manchester Red,1.79,3.87,4.12,3-1,3.0,1.0,4.0,D
3737,Spurs,N. Forest,1.52,4.85,5.13,4-2,4.0,2.0,6.0,D
3738,Newcastle,C. Palace,1.39,4.74,7.58,2-1,2.0,1.0,3.0,D
3739,A. Villa,London Blues,1.69,4.28,4.27,5-1,5.0,1.0,6.0,D
3740,Spurs,Brighton,1.94,4.45,3.14,1-2,1.0,2.0,3.0,E
3741,West Ham,Fulham,2.41,3.62,2.71,1-1,1.0,1.0,2.0,N
3742,Liverpool,A. Villa,1.32,5.29,8.85,5-0,5.0,0.0,5.0,D
3743,London Reds,Everton,1.27,5.51,10.78,2-3,2.0,3.0,5.0,E
3744,N. Forest,Sunderland,1.66,3.98,4.85,2-0,2.0,0.0,2.0,D
3745,London Blues,Newcastle,2.0,3.85,3.32,2-1,2.0,1.0,3.0,D
3746,C. Palace,Bournemouth,1.84,4.01,3.73,3-0,3.0,0.0,3.0,D
3747,Leeds,Burnley,3.33,3.88,1.99,2-2,2.0,2.0,4.0,N
3748,Brentford,Wolverhampton,1.56,4.62,4.96,1-3,1.0,3.0,4.0,E
3749,Manchester Red,Manchester Blue,3.43,3.47,2.08,0-0,0.0,0.0,0.0,N
3750,Manchester Blue,Spurs,1.33,6.05,7.03,0-2,0.0,2.0,2.0,E
3751,A. Villa,West Ham,1.41,5.08,6.6,1-1,1.0,1.0,2.0,N
3752,Burnley,N. Forest,2.47,3.48,2.72,1-0,1.0,0.0,1.0,D
3753,Fulham,Manchester Red,2.0,3.72,3.42,2-2,2.0,2.0,4.0,N
3754,Sunderland,Brighton,7.89,5.51,1.33,2-1,2.0,1.0,3.0,D
3755,Bournemouth,London Reds,5.97,3.72,1.6,3-1,3.0,1.0,4.0,D
3756,Everton,Brentford,2.63,3.09,2.81,2-0,2.0,0.0,2.0,D
3757,Wolverhampton,Leeds,1.62,3.8,5.57,2-0,2.0,0.0,2.0,D
3758,Newcastle,Liverpool,1.78,4.14,3.87,0-1,0.0,1.0,1.0,E
3759,London Blues,C. Palace,1.71,3.76,4.8,2-1,2.0,1.0,3.0,D
3760,C. Palace,London Reds,5.16,3.83,1.65,0-3,0.0,3.0,3.0,E
3761,Manchester Red,A. Villa,1.77,3.78,4.36,1-0,1.0,0.0,1.0,D
3762,Spurs,Fulham,1.93,4.06,3.4,2-1,2.0,1.0,3.0,D
3763,Leeds,Everton,4.1,3.27,1.96,1-0,1.0,0.0,1.0,D
3764,Sunderland,Manchester Blue,19.66,7.61,1.14,1-3,1.0,3.0,4.0,E
3765,N. Forest,Wolverhampton,1.6800000000000002,3.9,4.83,0-2,0.0,2.0,2.0,E
3766,West Ham,Newcastle,2.98,3.92,2.13,2-1,2.0,1.0,3.0,D
3767,Brentford,Bournemouth,1.76,4.46,3.73,3-1,3.0,1.0,4.0,D
3768,Liverpool,London Blues,1.34,5.31,7.97,1-2,1.0,2.0,3.0,E
3769,Brighton,Burnley,1.47,4.92,5.72,2-3,2.0,3.0,5.0,E
3770,Newcastle,Manchester Red,1.42,4.7,7.06,2-1,2.0,1.0,3.0,D
3771,Wolverhampton,Brighton,2.8,3.87,2.25,1-2,1.0,2.0,3.0,E
3772,A. Villa,Spurs,1.67,4.61,4.06,3-0,3.0,0.0,3.0,D
3773,Fulham,Sunderland,1.67,4.25,4.45,5-1,5.0,1.0,6.0,D
3774,Liverpool,C. Palace,1.31,5.26,9.38,2-0,2.0,0.0,2.0,D
3775,Bournemouth,Leeds,1.61,3.69,5.89,1-1,1.0,1.0,2.0,N
3776,Everton,N. Forest,1.92,3.51,3.92,3-1,3.0,1.0,4.0,D
3777,London Blues,West Ham,1.51,4.4,5.89,3-1,3.0,1.0,4.0,D
3778,Burnley,Manchester Blue,8.33,4.54,1.39,1-1,1.0,1.0,2.0,N
3779,London Reds,Brentford,1.46,4.69,6.16,2-0,2.0,0.0,2.0,D
3780,Spurs,Newcastle,2.22,4.15,2.72,3-3,3.0,3.0,6.0,N
3781,West Ham,Liverpool,3.46,4.0,1.92,1-1,1.0,1.0,2.0,N
3782,C. Palace,Brentford,2.32,3.48,2.93,0-0,0.0,0.0,0.0,N
3783,Manchester Blue,Wolverhampton,1.18,7.54,12.95,2-0,2.0,0.0,2.0,D
3784,Sunderland,A. Villa,6.23,4.21,1.51,0-2,0.0,2.0,2.0,E
3785,N. Forest,Bournemouth,1.79,3.97,4.01,3-0,3.0,0.0,3.0,D
3786,Burnley,Fulham,3.6,3.37,2.06,1-1,1.0,1.0,2.0,N
3787,Brighton,Everton,1.67,3.72,5.18,2-0,2.0,0.0,2.0,D
3788,Leeds,London Reds,18.59,7.26,1.15,0-3,0.0,3.0,3.0,E
3789,Manchester Red,London Blues,1.88,3.78,3.78,3-1,3.0,1.0,4.0,D
3790,C. Palace,Leeds,1.48,4.2,6.86,3-2,3.0,2.0,5.0,D
3791,N. Forest,Brentford,2.17,3.42,3.25,1-3,1.0,3.0,4.0,E
3792,Manchester Red,West Ham,1.59,4.18,5.17,1-2,1.0,2.0,3.0,E
3793,Manchester Blue,Bournemouth,1.23,6.84,9.96,2-0,2.0,0.0,2.0,D
3794,Burnley,Newcastle,4.37,3.94,1.73,1-1,1.0,1.0,2.0,N
3795,Sunderland,London Blues,6.55,4.5,1.46,1-1,1.0,1.0,2.0,N
3796,Fulham,Everton,1.85,3.55,4.19,1-0,1.0,0.0,1.0,D
3797,Brighton,London Reds,4.13,3.77,1.81,2-3,2.0,3.0,5.0,E
3798,Wolverhampton,A. Villa,2.36,3.41,2.91,2-1,2.0,1.0,3.0,D
3799,Spurs,Liverpool,2.65,4.2,2.25,3-1,3.0,1.0,4.0,D
3800,London Blues,Burnley,1.33,5.53,7.74,2-2,2.0,2.0,4.0,N
3801,Bournemouth,Fulham,2.48,3.3,2.83,0-0,0.0,0.0,0.0,N
3802,Everton,A. Villa,2.4,3.1,3.11,1-0,1.0,0.0,1.0,D
3803,Brentford,Brighton,2.03,4.34,2.96,1-0,1.0,0.0,1.0,D
3804,Newcastle,Wolverhampton,1.25,6.2,10.28,5-1,5.0,1.0,6.0,D
3805,Manchester Red,C. Palace,1.87,3.55,4.08,2-2,2.0,2.0,4.0,N
3806,Leeds,N. Forest,3.58,3.73,1.95,0-0,0.0,0.0,0.0,N
3807,West Ham,Spurs,2.52,3.98,2.43,3-1,3.0,1.0,4.0,D
3808,London Reds,Manchester Blue,2.19,3.7,3.0,0-1,0.0,1.0,1.0,E
3809,Liverpool,Sunderland,1.18,7.23,13.68,4-0,4.0,0.0,4.0,D
3810,Sunderland,West Ham,4.75,3.93,1.6800000000000002,0-3,0.0,3.0,3.0,E
3811,Spurs,Manchester Red,1.8,4.14,3.79,0-0,0.0,0.0,0.0,N
3812,Manchester Blue,Brentford,1.37,5.22,7.17,3-1,3.0,1.0,4.0,D
3813,Everton,Newcastle,3.0,3.44,2.29,1-2,1.0,2.0,3.0,E
3814,Burnley,Liverpool,5.24,4.3,1.57,0-1,0.0,1.0,1.0,E
3815,A. Villa,Bournemouth,1.5,4.91,5.32,3-1,3.0,1.0,4.0,D
3816,Fulham,London Reds,5.09,4.03,1.62,0-2,0.0,2.0,2.0,E
3817,Brighton,Leeds,1.35,4.95,8.53,0-0,0.0,0.0,0.0,N
3818,Wolverhampton,London Blues,2.62,3.55,2.52,1-2,1.0,2.0,3.0,E
3819,C. Palace,N. Forest,1.69,4.06,4.48,2-1,2.0,1.0,3.0,D
3820,Spurs,C. Palace,1.77,4.07,3.99,1-2,1.0,2.0,3.0,E
3821,London Blues,Everton,1.55,3.87,6.3,2-2,2.0,2.0,4.0,N
3822,West Ham,Burnley,1.67,4.38,4.28,3-1,3.0,1.0,4.0,D
3823,Manchester Red,Sunderland,1.52,4.36,5.75,1-0,1.0,0.0,1.0,D
3824,Brentford,Fulham,2.05,3.96,3.12,4-2,4.0,2.0,6.0,D
3825,Leeds,Manchester Blue,15.0,6.85,1.18,1-0,1.0,0.0,1.0,D
3826,London Reds,A. Villa,1.37,5.13,7.51,1-1,1.0,1.0,2.0,N
3827,Liverpool,Wolverhampton,1.2,6.67,12.6,3-2,3.0,2.0,5.0,D
3828,N. Forest,Brighton,2.22,3.82,2.88,0-1,0.0,1.0,1.0,E
3829,Bournemouth,Newcastle,2.85,3.55,2.34,1-0,1.0,0.0,1.0,D
3830,C. Palace,Brighton,2.3,3.85,2.74,0-0,0.0,0.0,0.0,N
3831,Newcastle,London Reds,2.65,3.47,2.54,1-2,1.0,2.0,3.0,E
3832,Sunderland,Spurs,7.88,5.44,1.33,1-3,1.0,3.0,4.0,E
3833,Fulham,Leeds,1.48,4.36,6.49,5-1,5.0,1.0,6.0,D
3834,Manchester Blue,N. Forest,1.19,7.36,12.24,2-2,2.0,2.0,4.0,N
3835,Everton,Liverpool,3.83,3.64,1.91,1-0,1.0,0.0,1.0,D
3836,A. Villa,Brentford,1.71,4.09,4.33,3-1,3.0,1.0,4.0,D
3837,Wolverhampton,West Ham,1.99,3.68,3.5,4-0,4.0,0.0,4.0,D
3838,Bournemouth,London Blues,2.43,3.46,2.79,1-1,1.0,1.0,2.0,N
3839,Burnley,Manchester Red,3.31,3.36,2.17,1-1,1.0,1.0,2.0,N
3840,Liverpool,Bournemouth,1.24,6.52,10.1,3-0,3.0,0.0,3.0,D
3841,Sunderland,C. Palace,6.31,4.09,1.52,0-1,0.0,1.0,1.0,E
3842,N. Forest,Fulham,2.18,3.47,3.19,1-1,1.0,1.0,2.0,N
3843,West Ham,Everton,2.06,3.29,3.68,2-1,2.0,1.0,3.0,D
3844,Brentford,Newcastle,2.26,4.17,2.65,3-1,3.0,1.0,4.0,D
3845,Brighton,Manchester Blue,3.54,3.66,1.99,4-2,4.0,2.0,6.0,D
3846,Spurs,Burnley,1.44,5.4,5.49,4-0,4.0,0.0,4.0,D
3847,Leeds,A. Villa,5.04,3.93,1.65,0-2,0.0,2.0,2.0,E
3848,London Reds,London Blues,1.42,5.1,6.34,1-3,1.0,3.0,4.0,E
3849,Manchester Red,Wolverhampton,1.52,4.32,5.87,1-1,1.0,1.0,2.0,N
3850,Wolverhampton,Spurs,2.72,3.88,2.3,1-2,1.0,2.0,3.0,E
3851,Everton,Manchester Red,2.39,3.13,3.11,2-1,2.0,1.0,3.0,D
3852,A. Villa,N. Forest,1.35,5.39,7.49,1-1,1.0,1.0,2.0,N
3853,Bournemouth,West Ham,1.92,3.58,3.86,1-2,1.0,2.0,3.0,E
3854,Newcastle,Leeds,1.15,7.45,18.05,2-3,2.0,3.0,5.0,E
