equipe_dom,equipe_ext,cote_dom,cote_nul,cote_ext,score,total_buts,resultat
Brighton,London Reds,4.59,3.89,1.71,1-2,3,E
Brentford,Bournemouth,1.74,4.56,3.76,4-1,5,D
Sunderland,Spurs,7.31,5.33,1.36,1-1,2,N
A. Villa,Fulham,1.63,4.29,4.73,1-1,2,N
Burnley,West Ham,2.79,3.42,2.45,0-2,2,E
Manchester Blue,Everton,1.22,6.25,12.5,4-0,4,D
N. Forest,Wolverhampton,1.68,3.9,4.78,2-1,3,D
Bournemouth,C. Palace,2.27,3.21,3.25,0-2,2,E
West Ham,Fulham,2.32,3.59,2.85,1-3,4,E
London Reds,N. Forest,1.22,6.79,10.96,1-0,1,D
Burnley,Everton,2.7,2.97,2.83,1-2,3,E
Leeds,Wolverhampton,3.68,3.74,1.92,0-2,2,E
London Blues,Brentford,1.8,3.72,4.24,1-0,1,D
Liverpool,Newcastle,1.45,4.89,5.97,4-0,4,D
Manchester Red,Brighton,1.95,3.95,3.4,1-0,1,D
Spurs,Sunderland,1.5,4.86,5.3,4-1,5,D
A. Villa,Manchester Blue,2.89,3.67,2.26,2-3,5,E
Fulham,Manchester Red,1.99,3.69,3.48,2-0,2,D
N. Forest,Wolverhampton,1.65,3.99,4.89,1-3,4,E
Everton,A. Villa,2.42,3.14,3.04,0-0,0,N
Manchester Blue,Bournemouth,1.23,6.84,9.66,4-1,5,D
Newcastle,London Reds,2.66,3.47,2.53,1-3,4,E
C. Palace,London Blues,2.18,3.65,3.05,1-2,3,E
Manchester Blue,Burnley,1.16,8.1,13.04,4-1,5,D
N. Forest,Wolverhampton,1.69,3.85,4.78,0-2,2,E
London Blues,Everton,1.59,3.75,6.08,0-1,1,E
Newcastle,Liverpool,1.85,4.13,3.62,2-0,2,D
C. Palace,Spurs,2.26,3.892,6.45,0-2,2,E
Brentford,London Reds,4.91,4.24,1.61,0-1,1,E
Brighton,Manchester Red,1.83,3.86,3.93,4-0,4,D
Manchester Blue,West Ham,1.21,6.98,11.19,3-0,3,D
C. Palace,Manchester Red,2.06,3.46,3.5,1-2,3,E
N. Forest,Leeds,1.43,4.28,7.78,1-2,3,E
London Reds,Spurs,1.43,5.32,5.81,3-0,3,D
A. Villa,Liverpool,2.17,4.04,2.84,1-1,2,N
Bournemouth,Wolverhampton,1.85,3.61,4.1,3-0,3,D
Burnley,Brighton,3.83,3.96,1.83,2-3,5,E
Sunderland,London Blues,7.03,4.67,1.42,0-3,3,E
Brentford,Fulham,2.01,3.97,3.22,1-3,4,E
Brighton,N. Forest,1.54,5.38,3.25,4-0,4,D
Bournemouth,West Ham,2.0,3.53,3.61,1-1,2,N
Brentford,Wolverhampton,1.55,4.67,4.94,0-2,2,E
Burnley,Liverpool,5.16,4.29,1.58,1-2,3,E
London Reds,Fulham,1.4,5.07,6.83,2-1,3,D
C. Palace,London Blues,2.19,3.62,3.05,1-1,2,N
A. Villa,Spurs,1.7,4.6,3.9,2-1,3,D
Newcastle,Manchester Red,1.39,4.85,7.37,1-2,3,E
Leeds,Everton,4.13,3.29,1.95,2-2,4,N
Fulham,C. Palace,2.01,3.61,3.49,3-2,5,D
A. Villa,London Reds,3.32,3.66,2.06,3-0,3,D
Manchester Red,N. Forest,1.57,4.25,5.36,2-1,3,D
Newcastle,Spurs,1.44,5.19,5.83,3-0,3,D
Sunderland,West Ham,5.02,4.02,1.63,1-2,3,E
Liverpool,Bournemouth,1.24,6.49,10.23,3-0,3,D
Manchester Blue,Sunderland,1.17,7.69,13.03,4-1,5,D
London Reds,Bournemouth,1.28,6.17,8.39,3-2,5,D
Spurs,Fulham,1.99,4.02,3.25,0-2,2,E
C. Palace,Burnley,1.61,4.38,4.77,0-0,0,N
Brighton,Newcastle,2.19,3.94,2.86,3-0,3,D
West Ham,Leeds,1.57,4.03,5.65,0-1,1,E
Everton,Manchester Red,2.39,3.08,3.15,2-1,3,D
N. Forest,London Blues,2.14,3.54,3.22,2-0,2,D
Wolverhampton,Liverpool,3.75,3.97,1.85,1-3,4,E
Brentford,A. Villa,1.85,4.05,3.67,2-0,2,D
A. Villa,N. Forest,1.36,5.33,7.3,1-3,4,E
Fulham,Brighton,2.24,4.08,2.71,3-0,3,D
Burnley,Spurs,3.76,4.0,1.84,0-2,2,E
London Blues,Everton,1.59,3.77,5.97,3-1,4,D
Sunderland,Leeds,3.26,3.19,2.28,4-0,4,D
Newcastle,Manchester Blue,2.37,3.51,2.83,1-0,1,D
Liverpool,C. Palace,1.32,5.09,9.21,3-1,4,D
Bournemouth,Brentford,2.6,3.24,2.73,0-0,0,N
London Reds,Wolverhampton,1.22,6.74,11.01,3-1,4,D
Bournemouth,Brighton,2.49,3.64,2.61,1-2,3,E
Brentford,N. Forest,1.55,4.7,4.94,0-0,0,N
Wolverhampton,Spurs,2.63,3.87,2.37,1-1,2,N
A. Villa,Manchester Blue,2.9,3.6,2.29,0-5,5,E
Burnley,Leeds,1.94,3.3,4.13,1-1,2,N
Newcastle,Leeds,1.18,6.79,15.6,1-0,1,D
London Reds,Brentford,1.46,4.72,6.1,1-0,1,D
Burnley,Everton,2.78,2.95,2.77,0-0,0,N
Wolverhampton,Sunderland,1.87,3.8,3.81,1-3,4,E
Fulham,West Ham,1.79,4.0,3.97,2-0,2,D
Bournemouth,C. Palace,2.38,3.12,3.14,2-1,3,D
Manchester Red,Manchester Blue,3.56,3.51,2.02,1-1,2,N
Wolverhampton,Everton,2.11,3.2,3.65,0-0,0,N
Burnley,Newcastle,4.5,4.0,1.7,0-0,0,N
Bournemouth,West Ham,1.97,3.57,3.67,3-1,4,D
Brentford,Spurs,2.01,4.39,2.99,3-2,5,D
London Blues,Manchester Red,1.66,3.92,4.94,2-1,3,D
Sunderland,Fulham,6.89,4.36,1.46,0-1,1,E
C. Palace,N. Forest,1.68,4.02,4.65,1-2,3,E
West Ham,Wolverhampton,1.82,3.93,3.92,0-0,0,N
Newcastle,Liverpool,1.76,4.23,3.9,3-2,5,D
Manchester Red,A. Villa,1.84,3.64,4.12,2-1,3,D
Spurs,N. Forest,1.49,4.92,5.4,3-1,4,D
Leeds,Bournemouth,4.58,4.24,1.65,2-1,3,D
Manchester Blue,London Reds,2.26,3.64,2.92,2-1,3,D
Brighton,Brentford,1.96,3.73,3.55,1-1,2,N
London Blues,Sunderland,1.42,4.81,6.88,1-1,2,N
Fulham,Burnley,1.58,4.58,4.79,5-1,6,D
A. Villa,London Blues,1.67,4.22,3.9,1-2,3,E
London Reds,Newcastle,1.56,4.61,4.99,3-1,4,D
Sunderland,Burnley,3.86,3.99,1.82,0-1,1,E
Liverpool,Fulham,1.37,5.04,7.64,0-0,0,N
C. Palace,West Ham,1.81,3.83,4.07,2-2,4,N
N. Forest,Brighton,2.14,3.82,3.03,0-5,5,E
Wolverhampton,Leeds,1.65,3.74,5.34,2-1,3,D
Spurs,Everton,1.65,3.98,4.96,2-0,2,D
Everton,Leeds,1.65,3.45,6.11,0-2,2,E
Spurs,Newcastle,2.16,4.24,2.77,1-2,3,E
Brighton,Manchester Blue,3.71,3.75,1.91,0-0,0,N
Bournemouth,Liverpool,3.48,3.63,2.01,1-4,5,E
Wolverhampton,Burnley,1.81,4.02,3.87,1-1,2,N
Burnley,West Ham,2.56,3.43,2.65,1-2,3,E
Brentford,Sunderland,1.54,4.79,4.97,1-1,2,N
Manchester Red,Newcastle,2.23,3.69,2.94,1-4,5,E
London Reds,N. Forest,1.23,6.61,10.72,4-1,5,D
Liverpool,Everton,1.26,5.4,12.05,1-0,1,D
A. Villa,Brighton,1.68,4.64,4.03,2-0,2,D
Wolverhampton,C. Palace,2.42,3.26,2.94,0-0,0,N
London Blues,Manchester Blue,3.21,3.46,2.18,0-3,3,E
Wolverhampton,West Ham,2.14,3.57,3.2,2-0,2,D
C. Palace,Everton,1.94,3.3,4.12,0-1,1,E
Liverpool,Newcastle,1.48,4.77,5.8,3-0,3,D
A. Villa,Manchester Red,1.54,4.39,5.46,3-0,3,D
N. Forest,Spurs,2.23,3.84,2.85,2-0,2,D
Bournemouth,Leeds,1.6,3.73,5.96,2-1,3,D
Brentford,Brighton,2.08,4.35,2.85,4-0,4,D
Sunderland,London Blues,7.08,4.65,1.42,0-2,2,E
Burnley,Fulham,3.55,3.45,2.05,3-0,3,D
London Blues,A. Villa,1.64,3.98,5.04,2-1,3,D
Manchester Blue,Brentford,1.34,5.4,7.79,2-1,3,D
Burnley,Sunderland,2.39,3.52,2.79,0-1,1,E
Fulham,Liverpool,3.01,4.08,2.07,1-0,1,D
West Ham,C. Palace,2.24,3.46,3.08,1-3,4,E
Brighton,N. Forest,1.5,4.66,5.6,4-1,5,D
Leeds,Wolverhampton,3.71,3.76,1.91,0-5,5,E
Everton,Spurs,2.72,3.58,2.42,2-2,4,N
Everton,Brighton,2.64,3.51,2.52,1-2,3,E
C. Palace,Leeds,1.48,4.19,6.81,2-2,4,N
Bournemouth,London Blues,2.44,3.39,2.81,3-0,3,D
Brentford,Newcastle,2.21,4.13,2.73,2-4,6,E
N. Forest,☐ Manchester Blue,4.45,3.61,1.79,1-1,2,N
Liverpool,Burnley,1.16,8.05,14.21,3-2,5,D
Wolverhampton,☐ Manchester Red,2.35,3.44,2.91,2-1,3,D
London Reds,Fulham,1.44,4.74,6.53,1-0,1,D
Spurs,West Ham,1.57,4.66,4.8,1-2,3,E
Sunderland,A. Villa,5.87,4.12,1.55,2-1,3,D
London Blues,Wolverhampton,1.39,4.89,7.22,1-2,3,E
Liverpool,Sunderland,1.17,7.41,13.73,3-1,4,D
Manchester Blue,Everton,1.22,6.23,12.55,3-0,3,D
Burnley,London Reds,9.39,4.67,1.35,0-4,4,E
Newcastle,N. Forest,1.26,5.98,9.9,3-1,4,D
Leeds,Spurs,6.14,5.06,1.43,2-1,3,D
Manchester Red,C. Palace,1.87,3.54,4.09,0-0,0,N
A. Villa,Bournemouth,1.48,4.96,5.42,2-0,2,D
West Ham,Brighton,2.58,3.99,2.37,0-3,3,E
