equipe_dom,equipe_ext,cote_dom,cote_nul,cote_ext,score,but_dom,but_ext,total_but,resultat,total_buts
Leeds,Fulham,5.78,4.26,1.53,0-1,0.0,1.0,1.0,E,
Bournemouth,Brentford,2.5700000000000003,3.25,2.75,0-1,0.0,1.0,1.0,E,
Everton,Brighton,2.54,3.48,2.64,2-0,2.0,0.0,2.0,D,
Liverpool,Newcastle,1.51,4.68,5.48,2-1,2.0,1.0,3.0,D,
London Reds,Manchester Blue,2.21,3.66,2.99,3-0,3.0,0.0,3.0,D,
Wolverhampton,C. Palace,2.42,3.25,2.94,0-1,0.0,1.0,1.0,E,
London Blues,Spurs,1.73,4.3,4.03,1-1,1.0,1.0,2.0,N,
Manchester Blue,Liverpool,1.6,4.67,4.5,2-3,2.0,3.0,5.0,E,
Fulham,Bournemouth,1.78,4.25,3.83,0-3,0.0,3.0,3.0,E,
Newcastle,Brighton,1.47,4.97,5.62,4-0,4.0,0.0,4.0,D,
Burnley,N. Forest,2.48,3.48,2.71,3-2,3.0,2.0,5.0,D,
C. Palace,Everton,1.92,3.29,4.27,2-0,2.0,0.0,2.0,D,
Leeds,Manchester Red,4.8100000000000005,3.84,1.69,1-0,1.0,0.0,1.0,D,
West Ham,London Reds,6.17,4.35,1.5,0-2,0.0,2.0,2.0,E,
Brentford,Wolverhampton,1.56,4.65,4.93,2-1,2.0,1.0,3.0,D,
Sunderland,A. Villa,6.39,4.25,1.5,2-0,2.0,0.0,2.0,D,
Brentford,London Blues,2.04,4.04,3.11,1-1,1.0,1.0,2.0,N,
C. Palace,Burnley,1.6,4.37,4.84,4-1,4.0,1.0,5.0,D,
Leeds,Liverpool,9.96,6.22,1.25,2-3,2.0,3.0,5.0,E,
Manchester Red,Bournemouth,1.64,4.24,4.68,1-1,1.0,1.0,2.0,N,
Everton,Spurs,2.69,3.52,2.48,1-1,1.0,1.0,2.0,N,
Manchester Blue,West Ham,1.22,6.78,10.73,2-0,2.0,0.0,2.0,D,
Brighton,London Reds,4.26,3.74,1.79,3-1,3.0,1.0,4.0,D,
Sunderland,Fulham,6.97,4.46,1.44,1-2,1.0,2.0,3.0,E,
Newcastle,N. Forest,1.26,6.05,9.82,5-1,5.0,1.0,6.0,D,
A. Villa,Wolverhampton,1.35,5.41,7.44,1-1,1.0,1.0,2.0,N,
Everton,Brighton,2.73,3.51,2.45,2-2,2.0,2.0,4.0,N,
Fulham,Newcastle,2.51,3.91,2.46,4-2,4.0,2.0,6.0,D,
Manchester Red,London Reds,4.18,3.5700000000000003,1.85,3-2,3.0,2.0,5.0,D,
Brentford,Burnley,1.45,5.23,5.62,0-0,0.0,0.0,0.0,N,
Leeds,Spurs,6.2,5.06,1.43,1-4,1.0,4.0,5.0,E,
Wolverhampton,Sunderland,1.9,3.79,3.7,0-2,0.0,2.0,2.0,E,
West Ham,C. Palace,2.39,3.46,2.84,2-0,2.0,0.0,2.0,D,
Bournemouth,N. Forest,1.8,3.68,4.31,1-2,1.0,2.0,3.0,E,
London Blues,Liverpool,2.33,3.73,2.76,0-1,0.0,1.0,1.0,E,
Manchester Blue,A. Villa,1.28,5.86,9.08,2-2,2.0,2.0,4.0,N,
Spurs,London Reds,4.66,4.2,1.65,0-2,0.0,2.0,2.0,E,
London Blues,Wolverhampton,1.39,4.93,7.37,4-0,4.0,0.0,4.0,D,
Everton,Burnley,1.78,3.78,4.28,1-2,1.0,2.0,3.0,E,
West Ham,Fulham,2.5,3.59,2.63,3-0,3.0,0.0,3.0,D,
Bournemouth,Manchester Red,2.22,3.35,3.21,1-2,1.0,2.0,3.0,E,
Brighton,Newcastle,2.2,3.84,2.9,0-0,0.0,0.0,0.0,N,
C. Palace,N. Forest,1.71,3.97,4.51,2-0,2.0,0.0,2.0,D,
Manchester Blue,Brentford,1.36,5.32,7.21,2-2,2.0,2.0,4.0,N,
A. Villa,Sunderland,1.39,5.18,6.72,2-0,2.0,0.0,2.0,D,
Leeds,Liverpool,9.58,5.93,1.27,3-1,3.0,1.0,4.0,D,
Spurs,Brentford,2.04,3.94,3.17,2-2,2.0,2.0,4.0,N,
Manchester Blue,Bournemouth,1.22,7.16,9.93,2-1,2.0,1.0,3.0,D,
Brighton,Fulham,1.98,3.79,3.44,3-0,3.0,0.0,3.0,D,
A. Villa,Liverpool,2.14,4.07,2.88,0-2,0.0,2.0,2.0,E,
C. Palace,Burnley,1.57,4.47,5.0,1-1,1.0,1.0,2.0,N,
N. Forest,Newcastle,2.45,3.61,2.67,1-1,1.0,1.0,2.0,N,
Sunderland,London Reds,22.37,7.87,1.13,1-3,1.0,3.0,4.0,E,
Leeds,Wolverhampton,3.6,3.71,1.95,2-1,2.0,1.0,3.0,D,
London Blues,West Ham,1.5,4.49,5.94,2-1,2.0,1.0,3.0,D,
Everton,Manchester Red,2.32,3.18,3.17,1-1,1.0,1.0,2.0,N,
Bournemouth,C. Palace,2.35,3.13,3.18,2-1,2.0,1.0,3.0,D,
Fulham,London Reds,5.13,4.06,1.62,1-2,1.0,2.0,3.0,E,
Everton,London Blues,2.58,3.31,2.7,3-2,3.0,2.0,5.0,D,
Manchester Red,Sunderland,1.53,4.42,5.6,1-1,1.0,1.0,2.0,N,
Manchester Blue,Spurs,1.33,5.98,7.02,2-0,2.0,0.0,2.0,D,
Leeds,Brighton,6.04,5.03,1.44,1-1,1.0,1.0,2.0,N,
Brentford,Newcastle,2.36,4.12,2.54,4-0,4.0,0.0,4.0,D,
Wolverhampton,N. Forest,1.98,3.72,3.51,2-0,2.0,0.0,2.0,D,
Liverpool,Burnley,1.15,8.19,14.71,4-0,4.0,0.0,4.0,D,
West Ham,A. Villa,2.25,3.62,2.95,0-1,0.0,1.0,1.0,E,
Brighton,A. Villa,1.82,3.9,3.95,3-1,3.0,1.0,4.0,D,
Bournemouth,Newcastle,2.96,3.54,2.27,1-1,1.0,1.0,2.0,N,
Fulham,Brentford,2.3,3.59,2.88,3-3,3.0,3.0,6.0,N,
Manchester Blue,Sunderland,1.18,7.57,12.91,3-1,3.0,1.0,4.0,D,
Wolverhampton,Burnley,1.72,4.18,4.19,1-4,1.0,4.0,5.0,E,
Spurs,London Blues,1.93,4.16,3.33,0-2,0.0,2.0,2.0,E,
Manchester Red,Liverpool,2.48,3.73,2.58,0-4,0.0,4.0,4.0,E,
Everton,C. Palace,2.46,3.01,3.12,3-0,3.0,0.0,3.0,D,
Leeds,N. Forest,3.8,3.76,1.88,1-2,1.0,2.0,3.0,E,
West Ham,London Reds,6.12,4.26,1.51,0-3,0.0,3.0,3.0,E,
Bournemouth,Fulham,2.52,3.29,2.79,3-0,3.0,0.0,3.0,D,
Manchester Blue,Liverpool,1.56,4.78,4.74,1-3,1.0,3.0,4.0,E,
C. Palace,London Blues,2.13,3.65,3.15,0-3,0.0,3.0,3.0,E,
Wolverhampton,Manchester Red,2.39,3.43,2.85,1-0,1.0,0.0,1.0,D,
Leeds,Burnley,3.21,3.88,2.04,0-3,0.0,3.0,3.0,E,
Spurs,Sunderland,1.5,4.97,5.25,2-0,2.0,0.0,2.0,D,
A. Villa,N. Forest,1.36,5.41,7.27,0-1,0.0,1.0,1.0,E,
West Ham,Brentford,2.59,3.55,2.55,0-3,0.0,3.0,3.0,E,
