equipe_dom,equipe_ext,cote_dom,cote_nul,cote_ext,score,but_dom,but_ext,total_but,resultat,total_buts
Leeds,Spurs,6.03,5.02,1.44,0-4,0.0,4.0,4.0,E,
London Reds,London Blues,1.41,4.97,6.63,0-2,0.0,2.0,2.0,E,
Wolverhampton,Fulham,2.51,3.43,2.7,0-0,0.0,0.0,0.0,N,
A. Villa,Everton,1.47,4.33,6.69,1-0,1.0,0.0,1.0,D,
Liverpool,Newcastle,1.42,5.03,6.47,2-1,2.0,1.0,3.0,D,
Brighton,N. Forest,1.5,4.63,5.66,4-1,4.0,1.0,5.0,D,
Manchester Red,Manchester Blue,3.58,3.46,2.03,1-1,1.0,1.0,2.0,N,
West Ham,Sunderland,1.78,4.02,4.0,1-2,1.0,2.0,3.0,E,
Brentford,Bournemouth,1.66,4.63,4.14,3-1,3.0,1.0,4.0,D,
C. Palace,Manchester Red,2.11,3.49,3.33,1-2,1.0,2.0,3.0,E,
Brighton,Bournemouth,1.66,4.42,4.29,2-4,2.0,4.0,6.0,E,
West Ham,Manchester Blue,5.19,4.04,1.61,3-1,3.0,1.0,4.0,D,
Wolverhampton,Everton,2.2,3.09,3.55,0-1,0.0,1.0,1.0,E,
N. Forest,Sunderland,1.66,4.02,4.8,3-3,3.0,3.0,6.0,N,
Leeds,Newcastle,7.21,5.06,1.38,0-4,0.0,4.0,4.0,E,
Brentford,London Blues,1.96,4.07,3.3,1-1,1.0,1.0,2.0,N,
A. Villa,Burnley,1.32,5.97,7.56,2-1,2.0,1.0,3.0,D,
Fulham,Spurs,2.35,4.11,2.56,0-3,0.0,3.0,3.0,E,
Liverpool,London Reds,2.24,3.48,3.06,2-0,2.0,0.0,2.0,D,
Manchester Blue,Wolverhampton,1.18,7.42,12.9,4-0,4.0,0.0,4.0,D,
Manchester Red,A. Villa,1.78,3.72,4.35,4-0,4.0,0.0,4.0,D,
Bournemouth,Fulham,2.49,3.24,2.86,0-1,0.0,1.0,1.0,E,
Sunderland,Spurs,7.47,5.35,1.35,1-1,1.0,1.0,2.0,N,
London Blues,Leeds,1.3,5.2,10.39,2-0,2.0,0.0,2.0,D,
Burnley,West Ham,2.61,3.39,2.61,1-0,1.0,0.0,1.0,D,
London Reds,Brentford,1.43,4.8100000000000005,6.64,1-4,1.0,4.0,5.0,E,
Everton,N. Forest,1.96,3.48,3.83,0-0,0.0,0.0,0.0,N,
Newcastle,Brighton,1.48,5.0,5.42,1-2,1.0,2.0,3.0,E,
Liverpool,C. Palace,1.32,5.23,9.09,3-0,3.0,0.0,3.0,D,
Leeds,London Reds,18.27,7.26,1.15,0-1,0.0,1.0,1.0,E,
N. Forest,Manchester Blue,4.26,3.59,1.83,0-2,0.0,2.0,2.0,E,
Wolverhampton,Burnley,1.82,4.06,3.79,1-1,1.0,1.0,2.0,N,
Fulham,Newcastle,2.62,3.92,2.36,1-2,1.0,2.0,3.0,E,
C. Palace,A. Villa,2.02,3.56,3.53,3-0,3.0,0.0,3.0,D,
Spurs,Everton,1.61,4.12,5.12,4-0,4.0,0.0,4.0,D,
West Ham,Manchester Red,2.29,3.58,2.9,1-1,1.0,1.0,2.0,N,
Sunderland,Bournemouth,5.33,4.45,1.54,2-0,2.0,0.0,2.0,D,
Brighton,London Blues,1.96,3.83,3.48,5-0,5.0,0.0,5.0,D,
Brentford,Liverpool,2.78,4.23,2.15,1-3,1.0,3.0,4.0,E,
Everton,Bournemouth,2.06,3.56,3.41,1-2,1.0,2.0,3.0,E,
London Blues,Fulham,1.74,3.86,4.4,3-0,3.0,0.0,3.0,D,
Manchester Red,Wolverhampton,1.53,4.29,5.72,3-0,3.0,0.0,3.0,D,
Liverpool,Leeds,1.13,7.96,20.98,4-0,4.0,0.0,4.0,D,
Newcastle,Sunderland,1.25,6.31,10.06,2-0,2.0,0.0,2.0,D,
A. Villa,West Ham,1.4,5.08,6.62,1-0,1.0,0.0,1.0,D,
Burnley,N. Forest,2.53,3.39,2.7,1-0,1.0,0.0,1.0,D,
Brentford,C. Palace,1.88,3.93,3.64,3-0,3.0,0.0,3.0,D,
London Reds,Brighton,1.46,5.16,5.5,2-2,2.0,2.0,4.0,N,
Manchester Blue,Spurs,1.33,6.05,7.08,5-0,5.0,0.0,5.0,D,
Bournemouth,Manchester Blue,4.7,3.54,1.77,2-1,2.0,1.0,3.0,D,
Fulham,London Reds,5.37,4.08,1.59,2-2,2.0,2.0,4.0,N,
Everton,Newcastle,2.99,3.4,2.32,2-2,2.0,2.0,4.0,N,
Wolverhampton,A. Villa,2.43,3.39,2.83,0-1,0.0,1.0,1.0,E,
N. Forest,Manchester Red,2.01,3.49,3.63,3-0,3.0,0.0,3.0,D,
C. Palace,West Ham,1.79,3.87,4.12,1-1,1.0,1.0,2.0,N,
Sunderland,London Blues,7.26,4.7,1.41,1-1,1.0,1.0,2.0,N,
Spurs,Burnley,1.42,5.5,5.8100000000000005,1-1,1.0,1.0,2.0,N,
Leeds,Brentford,6.2,4.23,1.51,1-4,1.0,4.0,5.0,E,
Brighton,Liverpool,2.67,3.99,2.3,1-1,1.0,1.0,2.0,N,
Liverpool,Fulham,1.35,5.14,8.17,2-1,2.0,1.0,3.0,D,
West Ham,Wolverhampton,1.79,3.94,4.05,2-1,2.0,1.0,3.0,D,
Manchester Red,Spurs,2.0,4.0,3.22,1-1,1.0,1.0,2.0,N,
London Reds,Sunderland,1.21,6.91,11.21,3-0,3.0,0.0,3.0,D,
Burnley,Bournemouth,2.8,3.61,2.35,2-1,2.0,1.0,3.0,D,
Leeds,C. Palace,5.15,3.85,1.65,0-0,0.0,0.0,0.0,N,
Manchester Blue,Newcastle,1.45,5.13,5.77,3-1,3.0,1.0,4.0,D,
London Blues,Everton,1.58,3.76,6.22,1-1,1.0,1.0,2.0,N,
A. Villa,N. Forest,1.37,5.3,7.11,3-1,3.0,1.0,4.0,D,
Brentford,Brighton,2.06,4.37,2.9,3-2,3.0,2.0,5.0,D,
Spurs,A. Villa,1.84,4.13,3.65,1-0,1.0,0.0,1.0,D,
Manchester Blue,London Blues,1.31,5.77,8.17,0-2,0.0,2.0,2.0,E,
Sunderland,Liverpool,12.47,6.62,1.21,0-2,0.0,2.0,2.0,E,
Everton,London Reds,6.53,3.64,1.58,0-0,0.0,0.0,0.0,N,
Fulham,Brentford,2.31,3.63,2.84,0-1,0.0,1.0,1.0,E,
Newcastle,Burnley,1.21,6.98,10.89,5-1,5.0,1.0,6.0,D,
Brighton,Leeds,1.37,4.8,8.22,1-0,1.0,0.0,1.0,D,
C. Palace,Wolverhampton,1.7000000000000002,3.97,4.54,1-0,1.0,0.0,1.0,D,
N. Forest,West Ham,1.73,3.91,4.4,1-0,1.0,0.0,1.0,D,
Bournemouth,Manchester Red,2.26,3.31,3.17,2-1,2.0,1.0,3.0,D,
N. Forest,Liverpool,2.96,3.65,2.23,1-2,1.0,2.0,3.0,E,
Manchester Red,Manchester Blue,3.64,3.51,2.0,,,,,,
London Blues,Brighton,1.79,4.18,3.84,1-1,1.0,1.0,2.0,N,
A. Villa,Wolverhampton,1.38,5.17,6.91,4-0,4.0,0.0,4.0,D,
Bournemouth,London Reds,6.02,3.81,1.58,1-2,1.0,2.0,3.0,E,
Sunderland,C. Palace,6.22,3.93,1.55,1-2,1.0,2.0,3.0,E,
Brentford,Spurs,2.07,4.4,2.86,1-3,1.0,3.0,4.0,E,
Burnley,Everton,2.76,2.91,2.8200000000000003,1-1,1.0,1.0,2.0,N,
Fulham,West Ham,1.77,4.1,3.98,2-0,2.0,0.0,2.0,D,
Newcastle,Leeds,1.16,7.26,16.99,2-2,2.0,2.0,4.0,N,
Spurs,Burnley,1.45,5.38,5.49,3-3,3.0,3.0,6.0,N,
Wolverhampton,Newcastle,3.1,3.72,2.13,2-0,2.0,0.0,2.0,D,
London Reds,Brentford,1.5,4.59,5.76,2-1,2.0,1.0,3.0,D,
Everton,Fulham,2.56,3.11,2.87,1-0,1.0,0.0,1.0,D,
Liverpool,Manchester Red,1.29,5.6,9.56,1-0,1.0,0.0,1.0,D,
West Ham,London Blues,2.4,3.67,2.7,0-3,0.0,3.0,3.0,E,
Brighton,C. Palace,1.92,3.63,3.82,,,,,,
N. Forest,Bournemouth,1.83,3.95,3.84,2-1,2.0,1.0,3.0,D,
Leeds,Sunderland,3.7,3.82,1.89,1-4,1.0,4.0,5.0,E,
Manchester Blue,A. Villa,1.27,5.96,9.35,3-0,3.0,0.0,3.0,D,
Burnley,London Reds,10.35,4.9,1.32,1-2,1.0,2.0,3.0,E,
Fulham,Spurs,2.23,4.14,2.7,2-1,2.0,1.0,3.0,D,
London Blues,Everton,1.53,3.9,6.59,2-1,2.0,1.0,3.0,D,
C. Palace,Leeds,1.51,4.06,6.5600000000000005,2-1,2.0,1.0,3.0,D,
Brentford,N. Forest,1.57,4.59,4.87,1-1,1.0,1.0,2.0,N,
Sunderland,Wolverhampton,4.39,3.78,1.76,0-1,0.0,1.0,1.0,E,
A. Villa,Liverpool,2.15,4.09,2.85,4-0,4.0,0.0,4.0,D,
Manchester Red,Bournemouth,1.66,4.16,4.61,1-1,1.0,1.0,2.0,N,
Newcastle,Manchester Blue,2.36,3.53,2.83,3-0,3.0,0.0,3.0,D,
West Ham,Brighton,2.54,4.01,2.4,0-2,0.0,2.0,2.0,E,
A. Villa,Everton,1.49,4.27,6.54,2-0,2.0,0.0,2.0,D,
Brighton,Wolverhampton,1.53,4.45,5.45,1-2,1.0,2.0,3.0,E,
Fulham,West Ham,1.78,4.1,3.95,4-1,4.0,1.0,5.0,D,
N. Forest,Burnley,1.59,4.32,5.03,5-1,5.0,1.0,6.0,D,
Brentford,Manchester Blue,3.9,4.07,1.79,2-2,2.0,2.0,4.0,N,
London Reds,Liverpool,1.75,4.32,3.87,2-1,2.0,1.0,3.0,D,
C. Palace,Spurs,2.26,3.96,2.74,0-1,0.0,1.0,1.0,E,
Newcastle,Sunderland,1.26,6.09,9.63,1-3,1.0,3.0,4.0,E,
Bournemouth,Leeds,1.57,3.79,6.32,3-0,3.0,0.0,3.0,D,
Manchester Red,London Blues,1.91,3.7,3.75,3-0,3.0,0.0,3.0,D,
Sunderland,Manchester Red,6.04,4.16,1.53,1-1,1.0,1.0,2.0,N,
Wolverhampton,Everton,2.18,3.14,3.52,2-2,2.0,2.0,4.0,N,
Manchester Blue,Brighton,1.36,5.76,6.69,1-0,1.0,0.0,1.0,D,
West Ham,Newcastle,2.97,3.87,2.15,0-1,0.0,1.0,1.0,E,
London Blues,C. Palace,1.76,3.67,4.53,1-0,1.0,0.0,1.0,D,
Leeds,London Reds,18.16,7.27,1.15,0-2,0.0,2.0,2.0,E,
Fulham,Bournemouth,1.8,4.27,3.7,3-0,3.0,0.0,3.0,D,
Liverpool,N. Forest,1.19,6.9,13.05,1-1,1.0,1.0,2.0,N,
Spurs,A. Villa,1.85,4.08,3.62,2-2,2.0,2.0,4.0,N,
Burnley,Brentford,3.74,3.4,2.01,2-2,2.0,2.0,4.0,N,
Brighton,Leeds,1.34,5.04,8.74,1-2,1.0,2.0,3.0,E,
Manchester Red,Newcastle,2.2,3.76,2.94,2-2,2.0,2.0,4.0,N,
A. Villa,West Ham,1.38,5.19,6.94,3-1,3.0,1.0,4.0,D,
Bournemouth,N. Forest,1.84,3.71,4.06,1-3,1.0,3.0,4.0,E,
C. Palace,Fulham,2.27,3.51,2.98,2-1,2.0,1.0,3.0,D,
Spurs,Burnley,1.43,5.42,5.69,3-0,3.0,0.0,3.0,D,
Manchester Blue,London Blues,1.31,5.85,8.07,2-0,2.0,0.0,2.0,D,
Everton,Liverpool,3.76,3.6,1.94,1-1,1.0,1.0,2.0,N,
Brentford,London Reds,4.64,4.24,1.64,1-1,1.0,1.0,2.0,N,
Wolverhampton,Sunderland,1.93,3.72,3.68,1-1,1.0,1.0,2.0,N,
West Ham,Wolverhampton,1.78,3.93,4.08,2-1,2.0,1.0,3.0,D,
Sunderland,Manchester Blue,19.43,7.37,1.15,0-3,0.0,3.0,3.0,E,
Manchester Red,Bournemouth,1.65,4.26,4.59,4-2,4.0,2.0,6.0,D,
Leeds,Everton,4.14,3.31,1.94,0-0,0.0,0.0,0.0,N,
Newcastle,C. Palace,1.42,4.59,7.21,2-2,2.0,2.0,4.0,N,
N. Forest,Brentford,2.27,3.37,3.1,3-2,3.0,2.0,5.0,D,
Fulham,A. Villa,2.01,3.71,3.42,2-1,2.0,1.0,3.0,D,
London Reds,Brighton,1.4,5.45,6.11,1-1,1.0,1.0,2.0,N,
Liverpool,Spurs,1.35,5.53,7.2,1-1,1.0,1.0,2.0,N,
Burnley,London Blues,3.51,3.56,2.02,0-2,0.0,2.0,2.0,E,
Burnley,Sunderland,2.47,3.5,2.71,1-4,1.0,4.0,5.0,E,
Spurs,Leeds,1.31,5.54,8.47,3-0,3.0,0.0,3.0,D,
London Blues,Liverpool,2.23,3.83,2.86,1-1,1.0,1.0,2.0,N,
A. Villa,Newcastle,1.87,4.21,3.48,2-0,2.0,0.0,2.0,D,
Manchester Blue,West Ham,1.22,6.79,10.83,2-0,2.0,0.0,2.0,D,
Wolverhampton,Fulham,2.59,3.43,2.62,0-1,0.0,1.0,1.0,E,
Everton,London Reds,6.13,3.55,1.63,0-1,0.0,1.0,1.0,E,
C. Palace,Manchester Red,2.04,3.55,3.48,0-0,0.0,0.0,0.0,N,
Brighton,N. Forest,1.53,4.5,5.4,1-0,1.0,0.0,1.0,D,
Bournemouth,Brentford,2.6,3.26,2.71,1-1,1.0,1.0,2.0,N,
Leeds,London Blues,5.83,4.43,1.51,0-1,0.0,1.0,1.0,E,
Brentford,Brighton,2.09,4.34,2.85,1-1,1.0,1.0,2.0,N,
Fulham,Manchester Blue,4.43,3.96,1.72,1-4,1.0,4.0,5.0,E,
Liverpool,Sunderland,1.18,7.18,13.56,4-0,4.0,0.0,4.0,D,
Newcastle,Wolverhampton,1.26,5.9,10.41,2-2,2.0,2.0,4.0,N,
London Reds,Spurs,1.42,5.37,5.92,3-0,3.0,0.0,3.0,D,
Manchester Red,A. Villa,1.88,3.63,3.97,2-1,2.0,1.0,3.0,D,
West Ham,Burnley,1.7000000000000002,4.31,4.17,4-2,4.0,2.0,6.0,D,
C. Palace,Bournemouth,1.83,4.03,3.77,3-1,3.0,1.0,4.0,D,
N. Forest,Everton,1.86,3.27,4.63,2-0,2.0,0.0,2.0,D,
Wolverhampton,Manchester Red,2.36,3.41,2.92,2-0,2.0,0.0,2.0,D,
Spurs,N. Forest,1.51,4.85,5.19,1-1,1.0,1.0,2.0,N,
A. Villa,C. Palace,1.58,4.23,5.22,1-1,1.0,1.0,2.0,N,
Manchester Blue,Newcastle,1.45,5.13,5.65,2-3,2.0,3.0,5.0,E,
Sunderland,Leeds,3.2,3.17,2.31,0-1,0.0,1.0,1.0,E,
Burnley,Fulham,3.5700000000000003,3.45,2.04,0-4,0.0,4.0,4.0,E,
London Blues,London Reds,3.68,3.43,2.01,2-1,2.0,1.0,3.0,D,
Bournemouth,Brighton,2.48,3.7,2.59,0-3,0.0,3.0,3.0,E,
Everton,Brentford,2.77,3.08,2.67,3-2,3.0,2.0,5.0,D,
Liverpool,West Ham,1.21,6.57,12.03,3-1,3.0,1.0,4.0,D,
Brentford,Spurs,2.02,4.4,2.96,0-1,0.0,1.0,1.0,E,
Fulham,Liverpool,3.13,4.05,2.03,2-2,2.0,2.0,4.0,N,
Newcastle,Burnley,1.21,6.95,11.22,4-0,4.0,0.0,4.0,D,
N. Forest,London Blues,2.15,3.56,3.18,1-0,1.0,0.0,1.0,D,
Leeds,West Ham,4.08,3.81,1.81,2-3,2.0,3.0,5.0,E,
A. Villa,Bournemouth,1.47,5.04,5.57,3-2,3.0,2.0,5.0,D,
C. Palace,Wolverhampton,1.65,4.04,4.83,2-1,2.0,1.0,3.0,D,
Brighton,Everton,1.66,3.81,5.14,3-1,3.0,1.0,4.0,D,
Manchester Red,Manchester Blue,3.54,3.5,2.03,1-3,1.0,3.0,4.0,E,
London Reds,Sunderland,1.21,6.93,11.39,2-1,2.0,1.0,3.0,D,
Wolverhampton,A. Villa,2.4,3.41,2.86,2-2,2.0,2.0,4.0,N,
Liverpool,Newcastle,1.43,4.95,6.29,1-0,1.0,0.0,1.0,D,
London Blues,Brentford,1.83,3.74,4.07,1-1,1.0,1.0,2.0,N,
Sunderland,N. Forest,4.59,3.94,1.7000000000000002,1-3,1.0,3.0,4.0,E,
Bournemouth,Everton,2.11,3.02,3.91,3-2,3.0,2.0,5.0,D,
Manchester Blue,C. Palace,1.28,5.8,9.45,3-1,3.0,1.0,4.0,D,
Burnley,Manchester Red,3.18,3.31,2.26,0-3,0.0,3.0,3.0,E,
Spurs,Brighton,1.92,4.51,3.16,2-1,2.0,1.0,3.0,D,
Leeds,Fulham,5.65,4.08,1.57,0-1,0.0,1.0,1.0,E,
West Ham,London Reds,6.24,4.27,1.5,2-0,2.0,0.0,2.0,D,
Brentford,Sunderland,1.58,4.61,4.73,4-1,4.0,1.0,5.0,D,
A. Villa,Manchester Blue,2.86,3.65,2.29,3-1,3.0,1.0,4.0,D,
N. Forest,West Ham,1.75,3.87,4.36,4-2,4.0,2.0,6.0,D,
London Reds,Fulham,1.43,4.87,6.52,2-0,2.0,0.0,2.0,D,
Newcastle,Leeds,1.16,7.1,16.52,2-1,2.0,1.0,3.0,D,
Everton,Spurs,2.65,3.53,2.51,1-2,1.0,2.0,3.0,E,
Manchester Red,Liverpool,2.58,3.7,2.48,0-1,0.0,1.0,1.0,E,
Wolverhampton,Bournemouth,2.14,3.75,3.07,1-0,1.0,0.0,1.0,D,
C. Palace,Burnley,1.54,4.54,5.31,3-1,3.0,1.0,4.0,D,
Brighton,London Blues,1.98,3.87,3.39,1-2,1.0,2.0,3.0,E,
Bournemouth,Spurs,2.65,3.74,2.41,1-2,1.0,2.0,3.0,E,
Leeds,Manchester Red,5.16,3.93,1.63,2-1,2.0,1.0,3.0,D,
Fulham,N. Forest,1.71,4.15,4.29,3-1,3.0,1.0,4.0,D,
Liverpool,C. Palace,1.32,5.23,9.05,1-0,1.0,0.0,1.0,D,
London Blues,Everton,1.56,3.84,6.24,1-0,1.0,0.0,1.0,D,
Burnley,A. Villa,3.18,3.29,2.27,1-0,1.0,0.0,1.0,D,
Sunderland,Brighton,7.4,5.29,1.36,1-2,1.0,2.0,3.0,E,
West Ham,Brentford,2.54,3.53,2.61,2-2,2.0,2.0,4.0,N,
Manchester Blue,Wolverhampton,1.18,7.55,12.99,1-0,1.0,0.0,1.0,D,
London Reds,Newcastle,1.54,4.68,5.12,2-0,2.0,0.0,2.0,D,
West Ham,Sunderland,1.88,3.94,3.65,1-0,1.0,0.0,1.0,D,
Brighton,Everton,1.6800000000000002,3.7,5.17,4-1,4.0,1.0,5.0,D,
London Reds,Manchester Red,1.35,5.27,7.88,4-1,4.0,1.0,5.0,D,
Liverpool,Spurs,1.37,5.48,6.78,3-2,3.0,2.0,5.0,D,
A. Villa,Leeds,1.24,5.96,11.68,2-1,2.0,1.0,3.0,D,
C. Palace,Manchester Blue,4.36,3.74,1.77,1-0,1.0,0.0,1.0,D,
London Blues,Wolverhampton,1.41,4.79,7.11,,,,,,
N. Forest,Burnley,1.55,4.47,5.25,2-2,2.0,2.0,4.0,N,
Bournemouth,Brentford,2.5700000000000003,3.19,2.79,2-1,2.0,1.0,3.0,D,
Newcastle,Fulham,1.46,4.59,6.29,4-2,4.0,2.0,6.0,D,
Manchester Blue,N. Forest,1.18,7.39,12.46,6-0,6.0,0.0,6.0,D,
Burnley,A. Villa,3.16,3.28,2.28,4-1,4.0,1.0,5.0,D,
Bournemouth,Newcastle,2.91,3.54,2.31,,,,,,
Leeds,London Reds,18.89,7.42,1.15,1-5,1.0,5.0,6.0,E,
Brentford,Liverpool,2.78,4.26,2.15,1-3,1.0,3.0,4.0,E,
Fulham,C. Palace,2.04,3.58,3.45,3-1,3.0,1.0,4.0,D,
Sunderland,London Blues,7.02,4.58,1.43,0-5,0.0,5.0,5.0,E,
Wolverhampton,Brighton,2.76,3.85,2.28,2-2,2.0,2.0,4.0,N,
Spurs,West Ham,1.59,4.61,4.69,2-0,2.0,0.0,2.0,D,
Manchester Red,Everton,1.71,3.49,5.34,4-0,4.0,0.0,4.0,D,
A. Villa,Manchester Blue,2.76,3.68,2.35,1-1,1.0,1.0,2.0,N,
West Ham,Brentford,2.73,3.55,2.42,1-1,1.0,1.0,2.0,N,
Brighton,Sunderland,1.51,4.68,5.48,3-2,3.0,2.0,5.0,D,
C. Palace,Bournemouth,1.81,4.03,3.85,3-0,3.0,0.0,3.0,D,
London Reds,Burnley,1.18,7.67,11.86,4-1,4.0,1.0,5.0,D,
Liverpool,Newcastle,1.48,4.75,5.8,1-4,1.0,4.0,5.0,E,
Leeds,Manchester Red,4.88,3.87,1.6800000000000002,0-3,0.0,3.0,3.0,E,
London Blues,Spurs,1.83,4.15,3.66,1-2,1.0,2.0,3.0,E,
Everton,Wolverhampton,1.92,3.42,4.07,1-1,1.0,1.0,2.0,N,
N. Forest,Fulham,2.2,3.43,3.19,3-0,3.0,0.0,3.0,D,
Fulham,A. Villa,2.07,3.7,3.27,1-1,1.0,1.0,2.0,N,
Manchester Blue,London Reds,2.26,3.7,2.88,2-2,2.0,2.0,4.0,N,
Bournemouth,N. Forest,1.84,3.7,4.08,2-2,2.0,2.0,4.0,N,
Sunderland,Everton,4.79,3.35,1.81,2-2,2.0,2.0,4.0,N,
Brentford,London Blues,2.01,4.03,3.18,3-1,3.0,1.0,4.0,D,
Burnley,Leeds,2.01,3.27,3.9,1-2,1.0,2.0,3.0,E,
Liverpool,C. Palace,1.32,5.19,9.08,2-1,2.0,1.0,3.0,D,
Newcastle,West Ham,1.29,5.79,9.12,4-0,4.0,0.0,4.0,D,
Spurs,Brighton,1.97,4.45,3.04,2-0,2.0,0.0,2.0,D,
Manchester Red,Wolverhampton,1.5,4.38,6.01,0-1,0.0,1.0,1.0,E,
Burnley,Manchester Red,3.13,3.34,2.27,2-2,2.0,2.0,4.0,N,
Brighton,Brentford,1.99,3.72,3.47,3-1,3.0,1.0,4.0,D,
Everton,Spurs,2.63,3.61,2.48,0-1,0.0,1.0,1.0,E,
Wolverhampton,Sunderland,1.93,3.79,3.6,4-0,4.0,0.0,4.0,D,
N. Forest,Liverpool,3.08,3.73,2.14,1-1,1.0,1.0,2.0,N,
West Ham,C. Palace,2.37,3.48,2.85,2-1,2.0,1.0,3.0,D,
London Blues,Newcastle,2.0,3.83,3.34,1-1,1.0,1.0,2.0,N,
London Reds,Fulham,1.44,4.74,6.44,1-1,1.0,1.0,2.0,N,
Leeds,Manchester Blue,14.53,6.51,1.19,0-1,0.0,1.0,1.0,E,
A. Villa,Bournemouth,1.43,5.21,5.88,2-0,2.0,0.0,2.0,D,
C. Palace,London Blues,2.22,3.58,3.03,4-0,4.0,0.0,4.0,D,
Bournemouth,London Reds,6.08,3.78,1.58,0-1,0.0,1.0,1.0,E,
Manchester Blue,Burnley,1.15,8.52,13.82,3-0,3.0,0.0,3.0,D,
Liverpool,A. Villa,1.32,5.3,8.83,6-0,6.0,0.0,6.0,D,
Brentford,Everton,1.67,3.97,4.74,3-1,3.0,1.0,4.0,D,
Newcastle,Brighton,1.48,4.98,5.51,3-0,3.0,0.0,3.0,D,
Spurs,Wolverhampton,1.51,4.88,5.19,2-1,2.0,1.0,3.0,D,
Manchester Red,Sunderland,1.48,4.52,6.12,0-1,0.0,1.0,1.0,E,
Fulham,Leeds,1.43,4.51,7.12,3-0,3.0,0.0,3.0,D,
West Ham,N. Forest,1.8,4.02,3.9,3-0,3.0,0.0,3.0,D,
London Reds,Liverpool,1.69,4.44,4.13,3-1,3.0,1.0,4.0,D,
Sunderland,Spurs,7.82,5.48,1.33,0-3,0.0,3.0,3.0,E,
Everton,Newcastle,3.14,3.45,2.21,1-1,1.0,1.0,2.0,N,
London Blues,N. Forest,1.41,4.8100000000000005,7.04,1-1,1.0,1.0,2.0,N,
A. Villa,West Ham,1.41,5.05,6.44,2-2,2.0,2.0,4.0,N,
Leeds,Bournemouth,4.54,4.28,1.65,2-1,2.0,1.0,3.0,D,
Brighton,C. Palace,1.89,3.65,3.88,2-0,2.0,0.0,2.0,D,
Manchester Blue,Manchester Red,1.27,6.07,9.49,3-1,3.0,1.0,4.0,D,
Burnley,Fulham,3.38,3.41,2.12,3-1,3.0,1.0,4.0,D,
Wolverhampton,Brentford,2.74,3.38,2.51,1-4,1.0,4.0,5.0,E,
Liverpool,Leeds,1.13,8.0,20.75,3-0,3.0,0.0,3.0,D,
N. Forest,Brighton,2.17,3.84,2.96,2-1,2.0,1.0,3.0,D,
Newcastle,Wolverhampton,1.25,6.12,10.26,3-0,3.0,0.0,3.0,D,
C. Palace,Everton,1.89,3.35,4.28,2-1,2.0,1.0,3.0,D,
Bournemouth,Burnley,1.71,4.05,4.38,0-1,0.0,1.0,1.0,E,
London Blues,A. Villa,1.65,3.95,4.94,2-0,2.0,0.0,2.0,D,
Brentford,Sunderland,1.56,4.77,4.8,1-2,1.0,2.0,3.0,E,
West Ham,London Reds,6.04,4.26,1.52,2-2,2.0,2.0,4.0,N,
Fulham,Manchester Blue,4.43,3.9,1.73,3-0,3.0,0.0,3.0,D,
Manchester Red,Spurs,1.85,4.09,3.64,3-2,3.0,2.0,5.0,D,
Spurs,Brentford,1.98,3.99,3.29,1-1,1.0,1.0,2.0,N,
Brighton,A. Villa,1.83,3.85,3.93,0-1,0.0,1.0,1.0,E,
Manchester Blue,Bournemouth,1.22,6.99,10.03,2-3,2.0,3.0,5.0,E,
Wolverhampton,C. Palace,2.43,3.28,2.91,2-0,2.0,0.0,2.0,D,
Sunderland,Newcastle,10.01,5.86,1.27,1-1,1.0,1.0,2.0,N,
Fulham,Manchester Red,2.0,3.74,3.42,4-1,4.0,1.0,5.0,D,
Leeds,West Ham,4.06,3.85,1.8,1-2,1.0,2.0,3.0,E,
London Reds,London Blues,1.41,5.04,6.5,3-3,3.0,3.0,6.0,N,
Everton,N. Forest,1.94,3.42,3.95,3-1,3.0,1.0,4.0,D,
Burnley,Liverpool,5.52,4.39,1.54,1-0,1.0,0.0,1.0,D,
Bournemouth,Fulham,2.51,3.32,2.77,1-1,1.0,1.0,2.0,N,
Newcastle,Spurs,1.47,5.07,5.42,2-3,2.0,3.0,5.0,E,
A. Villa,Everton,1.49,4.2,6.57,0-0,0.0,0.0,0.0,N,
West Ham,Burnley,1.71,4.26,4.15,4-1,4.0,1.0,5.0,D,
Manchester Red,Brentford,1.98,3.51,3.69,1-1,1.0,1.0,2.0,N,
Liverpool,Manchester Blue,2.11,3.55,3.29,4-2,4.0,2.0,6.0,D,
London Blues,Leeds,1.32,4.97,10.05,4-1,4.0,1.0,5.0,D,
N. Forest,Wolverhampton,1.65,4.01,4.85,0-2,0.0,2.0,2.0,E,
C. Palace,Sunderland,1.67,4.1,4.6,3-0,3.0,0.0,3.0,D,
Brighton,London Reds,4.34,3.76,1.77,2-0,2.0,0.0,2.0,D,
Everton,London Reds,6.38,3.64,1.59,2-1,2.0,1.0,3.0,D,
Leeds,Brighton,5.96,4.88,1.46,0-2,0.0,2.0,2.0,E,
Brentford,Newcastle,2.33,4.04,2.6,2-1,2.0,1.0,3.0,D,
Bournemouth,Manchester Red,2.2,3.35,3.25,0-1,0.0,1.0,1.0,E,
Sunderland,N. Forest,4.64,3.96,1.69,3-2,3.0,2.0,5.0,D,
Fulham,Liverpool,3.03,4.1,2.06,1-1,1.0,1.0,2.0,N,
Wolverhampton,A. Villa,2.47,3.4,2.77,0-1,0.0,1.0,1.0,E,
Manchester Blue,West Ham,1.21,6.9,10.99,5-0,5.0,0.0,5.0,D,
